Rowid,Country,State lgd code,State,District lgd code,District,Year,Type of residence namely rural or urban,Number of census houses,Houses having grass or thatch or bamboo etc. as material of wall,Houses having plastic or polythene as material of wall,Houses having mud or unburnt brick as material of wall,Houses having wood as material of wall,Houses having stone not packed with mortar as material of wall,Houses having stone packed with mortar as material of wall,Houses having galvanized iron (gi) sheets or metal or asbestos sheets as material of wall,Houses having burnt brick as material of wall,Houses having concrete as material of wall,Houses having any other material of wall
401,India,9,Uttar Pradesh,182,Siddharth Nagar,2011,Urban,23826,638,120,1809,47,366,592,12,18951,207,1084
402,India,9,Uttar Pradesh,183,Sitapur,2011,Rural,710299,74184,2653,254535,450,3760,2869,259,344294,1666,25629
403,India,9,Uttar Pradesh,183,Sitapur,2011,Urban,83562,2349,313,7277,52,971,1247,52,67884,297,3120
404,India,9,Uttar Pradesh,184,Sonbhadra,2011,Rural,267308,4623,1230,227537,108,1513,2171,338,27827,648,1313
405,India,9,Uttar Pradesh,184,Sonbhadra,2011,Urban,59610,1020,251,11655,155,556,2263,236,41417,661,1396
406,India,9,Uttar Pradesh,185,Sultanpur,2011,Rural,371331.7484,19310.5459,1226.363447,166701.8415,308.7741131,2982.321283,2945.517903,236.414927,166316.9655,1320.555146,9982.448752
407,India,9,Uttar Pradesh,185,Sultanpur,2011,Urban,23423.93452,375.351362,117.7010007,1920.535841,10.76533543,395.4466548,404.7766121,12.91840252,19016.60619,212.4359525,957.3971642
408,India,9,Uttar Pradesh,186,Unnao,2011,Rural,475335,25879,1117,165235,331,3583,2997,157,261677,2015,12344
409,India,9,Uttar Pradesh,186,Unnao,2011,Urban,92156,2157,271,8541,51,1561,1503,51,72426,1121,4474
410,India,9,Uttar Pradesh,187,Varanasi,2011,Rural,301485,9285,1200,81760,276,3606,8106,187,192638,1700,2727
411,India,9,Uttar Pradesh,187,Varanasi,2011,Urban,240219,1417,1096,15817,494,6513,15876,657,191013,3239,4097
412,India,9,Uttar Pradesh,633,Kasganj,2011,Rural,190576,8577,539,19156,147,1374,1989,121,145094,1013,12566
413,India,9,Uttar Pradesh,633,Kasganj,2011,Urban,45920,513,98,1892,19,821,1080,88,37961,341,3107
414,India,9,Uttar Pradesh,640,Amethi,2011,Rural,306094.3897,15902.91636,986.3879879,130985.1633,216.1927377,2404.301464,2311.938558,168.7512501,142379.008,1245.070538,9494.659428
415,India,9,Uttar Pradesh,640,Amethi,2011,Urban,12837.60757,240.848727,58.80397789,1085.9134,7.067284029,208.6131439,231.0061102,6.601539633,10288.00331,109.7485054,601.0015675
416,India,9,Uttar Pradesh,659,Sambhal,2011,Rural,284267.8228,9546.738897,402.9189226,40440.18333,126.1940735,2331.961572,1755.320742,52.93069089,227850.0633,465.6147184,1295.896561
417,India,9,Uttar Pradesh,659,Sambhal,2011,Urban,74390.11958,711.6483709,143.6571143,3951.229365,108.462822,1051.243825,898.9007748,28.7139454,66846.16226,341.9102405,308.1908641
418,India,9,Uttar Pradesh,660,Shamli,2011,Rural,152354.0803,2146.639497,503.2472943,9385.609544,146.9520104,1578.783991,1961.999363,54.47359007,133466.6298,822.8045755,2286.940662
419,India,9,Uttar Pradesh,660,Shamli,2011,Urban,63014.90525,510.8381477,162.310643,2498.199858,82.09898802,1048.728069,1194.681826,28.93910689,55915.3874,614.6414659,959.0797489
466,India,10,Bihar,210,Nawada,2011,Rural,313669,11079,1452,141440,437,3378,4363,767,146671,2811,1271
467,India,10,Bihar,210,Nawada,2011,Urban,33080,673,114,5116,36,414,542,55,25557,462,111
420,India,9,Uttar Pradesh,661,Hapur,2011,Rural,148932.9033,1983.710409,390.2381133,8361.281084,168.1214513,3358.747535,7512.697263,188.3696553,122861.1932,1816.816122,2291.728543
421,India,9,Uttar Pradesh,661,Hapur,2011,Urban,68246.12394,395.7958087,196.6773886,2029.543266,109.4976951,2039.423631,4007.941111,121.2378938,56815.58748,1485.309499,1045.110166
422,India,10,Bihar,188,Araria,2011,Rural,529611,434440,2507,16071,613,1205,1414,450,71129,1350,432
423,India,10,Bihar,188,Araria,2011,Urban,31844,12725,182,2839,120,224,601,42,14894,138,79
424,India,10,Bihar,189,Aurangabad,2011,Rural,351828,13677,1810,174874,365,3009,4304,797,148791,2959,1242
425,India,10,Bihar,189,Aurangabad,2011,Urban,35294,607,113,6948,44,710,1297,77,24440,778,280
426,India,10,Bihar,190,Banka,2011,Rural,366656,19851,1270,202510,410,2222,3018,247,132920,3931,277
427,India,10,Bihar,190,Banka,2011,Urban,8651.023743,356.2224346,18.13496031,2498.090782,3.238385769,148.9657454,90.02712438,9.715157307,5381.549471,136.0122023,9.067480153
428,India,10,Bihar,191,Begusarai,2011,Rural,488062,105723,2341,117515,1675,4172,3924,318,246973,4709,712
429,India,10,Bihar,191,Begusarai,2011,Urban,108048,9671,503,20438,250,1651,2038,79,71469,1721,228
430,India,10,Bihar,192,Bhagalpur,2011,Rural,456718.3039,97686.52828,2420.121394,126820.5308,1503.61983,3721.732736,6236.390122,391.080472,212803.5032,4527.776457,607.0205799
431,India,10,Bihar,192,Bhagalpur,2011,Urban,109051.9763,5864.777565,566.8650397,19947.90922,211.7616142,1543.034255,3454.972876,154.2848427,74823.45053,2201.987798,282.9325198
432,India,10,Bihar,193,Bhojpur,2011,Rural,357782,21991,1747,96435,942,6614,12283,370,213735,2977,688
433,India,10,Bihar,193,Bhojpur,2011,Urban,57773,1435,213,8889,97,1246,3282,39,41574,899,99
434,India,10,Bihar,194,Buxar,2011,Rural,236453,16773,1412,57385,519,3798,7235,360,146548,1339,1084
435,India,10,Bihar,194,Buxar,2011,Urban,25945,837,143,3110,54,501,1383,53,19117,517,230
436,India,10,Bihar,195,Darbhanga,2011,Rural,729941.9135,197982.202,4319.825733,94937.1954,2365.571296,4222.86341,4020.553987,490.8491673,414061.847,5474.981533,2066.023996
437,India,10,Bihar,195,Darbhanga,2011,Urban,76615.54895,7349.381861,381.3022926,7179.200919,135.2317601,707.153536,1101.533082,65.38051676,58662.70331,787.3392204,246.3224554
438,India,10,Bihar,196,Gaya,2011,Rural,603194,19307,2210,336458,431,3635,6102,629,229033,4593,796
439,India,10,Bihar,196,Gaya,2011,Urban,87311,1080,279,12199,175,1679,5015,505,63559,2584,236
440,India,10,Bihar,197,Gopalganj,2011,Rural,396391,69146,1939,20490,901,5895,4259,494,287102,2077,4088
441,India,10,Bihar,197,Gopalganj,2011,Urban,25336,2130,166,1757,43,380,372,31,20117,129,211
442,India,10,Bihar,198,Jamui,2011,Rural,283684,10330,1782,159929,447,2652,2576,479,100665,3090,1734
443,India,10,Bihar,198,Jamui,2011,Urban,24607,552,110,7334,30,284,357,45,15460,329,106
444,India,10,Bihar,199,Jehanabad,2011,Rural,159632,5719,600,52996,131,2302,2585,153,93457,1210,479
445,India,10,Bihar,199,Jehanabad,2011,Urban,22014,406,108,2998,43,420,1072,29,16265,557,116
446,India,10,Bihar,200,Kaimur (Bhabua),2011,Rural,235155,9800,1130,94778,508,3839,4626,353,117728,1059,1334
447,India,10,Bihar,200,Kaimur (Bhabua),2011,Urban,9893,116,24,839,6,169,370,7,8220,41,101
448,India,10,Bihar,201,Katihar,2011,Rural,563679,360574,2186,54880,770,1555,2304,351,139063,1365,631
449,India,10,Bihar,201,Katihar,2011,Urban,50284.45105,15158.61814,280.6977074,3604.799081,149.7682399,391.846464,722.4669181,38.61948324,29083.29669,816.6607796,37.67754462
450,India,10,Bihar,202,Khagaria,2011,Rural,312199,110105,2111,57020,1470,2337,2822,133,133011,2744,446
451,India,10,Bihar,202,Khagaria,2011,Urban,15502,1157,153,2591,31,173,248,7,10932,202,8
452,India,10,Bihar,203,Kishanganj,2011,Rural,304695,192404,2315,14988,572,1122,1029,270,91128,657,210
453,India,10,Bihar,203,Kishanganj,2011,Urban,31016,13134,283,2182,159,138,362,77,14331,335,15
454,India,10,Bihar,204,Lakhisarai,2011,Rural,140728,11006,422,45852,215,1323,1601,121,78106,1658,424
455,India,10,Bihar,204,Lakhisarai,2011,Urban,23702,791,84,5039,25,446,515,21,16387,160,234
456,India,10,Bihar,205,Madhepura,2011,Rural,383792,241452,2054,23497,485,1406,1108,279,112210,1016,285
457,India,10,Bihar,205,Madhepura,2011,Urban,17209,6881,100,1117,37,119,241,13,8531,98,72
458,India,10,Bihar,206,Madhubani,2011,Rural,871575,356182,4765,96086,2867,6010,4764,1030,390721,4451,4699
459,India,10,Bihar,206,Madhubani,2011,Urban,29964,6451,294,2637,90,331,327,42,19170,311,311
460,India,10,Bihar,207,Munger,2011,Rural,193801,26246,776,56031,457,1483,2475,173,103461,2474,225
461,India,10,Bihar,207,Munger,2011,Urban,69948,1867,154,13160,73,995,1670,71,50387,1522,49
462,India,10,Bihar,208,Muzaffarpur,2011,Rural,859579,290734,6557,99440,2105,6776,6367,1244,435723,5695,4938
463,India,10,Bihar,208,Muzaffarpur,2011,Urban,88284,9066,394,5900,378,1401,1762,162,67077,1356,788
468,India,10,Bihar,211,Pashchim Champaran,2011,Rural,635151,324744,2408,42832,1335,2574,2632,347,254059,2107,2113
469,India,10,Bihar,211,Pashchim Champaran,2011,Urban,72914,15670,238,6689,63,966,1006,101,47334,449,398
470,India,10,Bihar,212,Patna,2011,Rural,544392,32712,2409,157737,699,9401,11515,540,322987,5631,761
471,India,10,Bihar,212,Patna,2011,Urban,413049,10627,1074,35293,525,6109,17736,775,325093,14941,876
472,India,10,Bihar,213,Purbi Champaran,2011,Rural,913167,356020,3308,88078,2460,5258,4920,731,445616,3611,3165
473,India,10,Bihar,213,Purbi Champaran,2011,Urban,71136,14108,348,6303,176,948,804,61,47210,816,362
474,India,10,Bihar,214,Purnia,2011,Rural,576602,434243,2545,24038,452,1494,1615,490,109008,1612,1105
475,India,10,Bihar,214,Purnia,2011,Urban,64111,27869,469,2077,105,530,811,132,31608,426,84
476,India,10,Bihar,215,Rohtas,2011,Rural,387316,12043,1411,138503,696,6476,13762,304,210535,2918,668
477,India,10,Bihar,215,Rohtas,2011,Urban,68562,1166,216,12166,69,1404,3408,48,48629,1298,158
478,India,10,Bihar,216,Saharsa,2011,Rural,339776,170596,1266,39162,769,893,872,141,124872,935,270
479,India,10,Bihar,216,Saharsa,2011,Urban,28436,1826,151,6195,56,247,223,13,19424,258,43
480,India,10,Bihar,217,Samastipur,2011,Rural,822111,227772,4908,142225,2330,4809,3644,398,429362,5327,1336
481,India,10,Bihar,217,Samastipur,2011,Urban,28242,2771,104,3346,43,171,249,23,20914,549,72
482,India,10,Bihar,218,Saran,2011,Rural,585844,61979,2122,102718,820,8652,7696,590,396151,4271,845
483,India,10,Bihar,218,Saran,2011,Urban,55898,3384,224,7567,196,614,1524,47,41366,800,176
484,India,10,Bihar,219,Sheikhpura,2011,Rural,86465,4927,468,28707,136,1507,1863,186,47726,541,404
485,India,10,Bihar,219,Sheikhpura,2011,Urban,17283,520,57,3859,32,234,623,26,11504,361,67
486,India,10,Bihar,220,Sheohar,2011,Rural,143121,74155,444,8734,970,473,532,62,56930,499,322
487,India,10,Bihar,220,Sheohar,2011,Urban,5768,1649,17,689,30,54,201,3,2994,82,49
488,India,10,Bihar,221,Sitamarhi,2011,Rural,696184,259977,3791,79933,5127,3583,3304,250,335435,2403,2381
489,India,10,Bihar,221,Sitamarhi,2011,Urban,36899,6177,196,3913,80,423,660,30,24878,396,146
490,India,10,Bihar,222,Siwan,2011,Rural,516701,36902,1864,46320,893,6799,5771,737,411280,3189,2946
491,India,10,Bihar,222,Siwan,2011,Urban,28178,527,92,1912,16,449,774,31,23625,596,156
492,India,10,Bihar,223,Supaul,2011,Rural,420420,300114,2204,16369,501,1123,955,515,97196,1027,416
493,India,10,Bihar,223,Supaul,2011,Urban,20384,9549,57,865,12,67,58,30,9602,138,6
494,India,10,Bihar,224,Vaishali,2011,Rural,599734.7826,145544.2697,3094.052873,119584.2738,1266.808874,4622.403854,5201.055891,477.0703607,312977.6498,5303.242011,1663.955424
495,India,10,Bihar,224,Vaishali,2011,Urban,37461,3351,130,5864,57,481,579,46,26140,557,256
496,India,10,Bihar,611,Arwal,2011,Rural,109546,2994,187,44302,158,1285,1437,28,58258,821,76
497,India,10,Bihar,611,Arwal,2011,Urban,8257,99,7,1833,8,134,326,2,5763,85,0
498,India,11,Sikkim,225,East District,2011,Rural,31167.71581,4677.286049,462.5036681,4300.897081,9227.819001,1163.999817,767.2916502,758.5834221,4266.064169,4720.827189,822.4437612
499,India,11,Sikkim,225,East District,2011,Urban,28910,1633,119,1020,1557,406,346,353,17413,5825,238
500,India,11,Sikkim,226,North District,2011,Rural,8995.284192,1698.713951,170.4963319,464.1029192,3578.180999,483.0001826,335.7083498,433.4165779,465.9358315,1094.172811,271.5562388
501,India,11,Sikkim,226,North District,2011,Urban,952,75,11,18,121,10,0,6,384,288,39
502,India,11,Sikkim,227,South District,2011,Rural,25476.99505,4923.211696,300.012768,3796.142272,8765.279817,1180.099464,578.060676,173.0090828,3048.080144,2572.089934,141.0091945
503,India,11,Sikkim,227,South District,2011,Urban,4770,92,10,238,426,16,26,41,3128,754,39
504,India,11,Sikkim,228,West District,2011,Rural,26730.00495,5686.788304,342.987232,3821.857728,7516.720183,2671.900536,1629.939324,243.9909172,2152.919856,2415.910066,246.9908055
505,India,11,Sikkim,228,West District,2011,Urban,1129,43,3,33,317,8,10,8,633,68,6
506,India,12,Arunachal Pradesh,229,Changlang,2011,Rural,24444,20982,146,298,1044,75,40,29,828,431,571
507,India,12,Arunachal Pradesh,229,Changlang,2011,Urban,6728.948429,3359.446517,72.18048008,273.7913937,324.4933393,109.1568339,314.6249089,53.42539178,375.4931491,1279.504207,566.8322077
508,India,12,Arunachal Pradesh,230,Dibang Valley,2011,Rural,1297,932,46,3,170,32,41,22,0,46,5
509,India,12,Arunachal Pradesh,230,Dibang Valley,2011,Urban,1853.869612,905.4355565,19.38880549,40.34763028,220.6015441,92.78254343,8.533776539,28.62770748,208.4928158,132.4482093,197.2110229
510,India,12,Arunachal Pradesh,231,East Kameng,2011,Rural,8884.356763,7352.571114,311.9710039,166.0102771,482.7931731,28.06937053,33.68324463,9.623784181,95.43585979,153.1785649,251.0203707
511,India,12,Arunachal Pradesh,231,East Kameng,2011,Urban,3532,1663,92,433,276,49,60,14,269,668,8
512,India,12,Arunachal Pradesh,232,East Siang,2011,Rural,8767.487846,6433.613021,64.54675646,120.2607989,891.4246787,51.63740517,57.0729215,68.62339371,320.0160242,645.4675646,114.8252826
513,India,12,Arunachal Pradesh,232,East Siang,2011,Urban,4095.687179,1948.410256,43.47692308,24.15384615,131.2358974,208.5282051,218.9948718,5.635897436,247.174359,799.4923077,468.5846154
514,India,12,Arunachal Pradesh,233,Kurung Kumey,2011,Rural,7696.86373,7054.335117,207.6860162,9.984904625,260.1067655,3.494716619,42.93508989,29.45546864,35.94565665,41.93659942,10.98339509
515,India,12,Arunachal Pradesh,233,Kurung Kumey,2011,Urban,3507.067457,1750.404874,23.89255419,129.1600916,372.4802747,76.40096944,93.7366366,29.64184731,185.0919618,545.4977784,300.7604686
516,India,12,Arunachal Pradesh,234,Lohit,2011,Rural,6611.535028,5176.066108,66.37495009,155.4648831,562.8595767,26.25498026,123.8999068,23.89498203,139.8298948,241.0148188,95.8749279
517,India,12,Arunachal Pradesh,234,Lohit,2011,Urban,0,0,0,0,0,0,0,0,0,0,0
518,India,12,Arunachal Pradesh,235,Lower Dibang Valley,2011,Rural,8626,5310,276,299,1501,54,206,17,82,545,336
519,India,12,Arunachal Pradesh,235,Lower Dibang Valley,2011,Urban,1513.971263,678.322968,8.740295947,20.52069483,243.208235,6.840231611,4.18014154,32.68110658,246.6283508,111.723783,161.1254557
520,India,12,Arunachal Pradesh,236,Lower Subansiri,2011,Rural,9629.150837,7279.721029,114.9177624,57.45888118,746.9654553,64.64124132,104.5432421,52.67064108,307.2454063,561.0221315,339.965047
521,India,12,Arunachal Pradesh,236,Lower Subansiri,2011,Urban,5325,1571,39,101,666,119,33,16,211,1301,1268
522,India,12,Arunachal Pradesh,237,Papum Pare,2011,Rural,13537,9183,334,281,383,183,82,64,2154,744,129
523,India,12,Arunachal Pradesh,237,Papum Pare,2011,Urban,19939,6832,311,378,219,678,834,187,5135,4975,390
524,India,12,Arunachal Pradesh,238,Tawang,2011,Rural,7891,753,40,66,713,3555,1010,192,67,497,998
525,India,12,Arunachal Pradesh,238,Tawang,2011,Urban,1586,29,2,5,113,8,160,4,219,327,719
526,India,12,Arunachal Pradesh,239,Tirap,2011,Rural,7234.630367,6690.79284,24.33696332,28.08111153,45.39779697,2.808111153,80.03116786,33.69733383,164.2745024,135.2573539,29.95318563
527,India,12,Arunachal Pradesh,239,Tirap,2011,Urban,0,0,0,0,0,0,0,0,0,0,0
528,India,12,Arunachal Pradesh,240,Upper Siang,2011,Rural,5652,2081,100,116,2735,4,14,55,175,290,82
529,India,12,Arunachal Pradesh,240,Upper Siang,2011,Urban,2525.312821,1257.589744,23.52307692,40.84615385,125.7641026,124.4717949,129.0051282,8.364102564,121.825641,487.5076923,206.4153846
530,India,12,Arunachal Pradesh,241,Upper Subansiri,2011,Rural,11753.81029,10469.71196,326.6963948,49.00445922,483.6921623,8.167409871,95.28644849,28.13218955,65.33927897,89.84150858,137.9384778
531,India,12,Arunachal Pradesh,241,Upper Subansiri,2011,Urban,0,0,0,0,0,0,0,0,0,0,0
532,India,12,Arunachal Pradesh,242,West Kameng,2011,Rural,12542,3974,199,572,3103,1455,619,72,697,1128,723
533,India,12,Arunachal Pradesh,242,West Kameng,2011,Urban,3863,527,52,193,286,134,292,30,331,1101,917
534,India,12,Arunachal Pradesh,243,West Siang,2011,Rural,5574.872741,3911.142604,71.73749287,53.25965379,1115.191935,6.521590261,64.1289709,19.56477078,76.44753028,215.5747892,41.30340498
535,India,12,Arunachal Pradesh,243,West Siang,2011,Urban,0,0,0,0,0,0,0,0,0,0,0
536,India,12,Arunachal Pradesh,628,Anjaw,2011,Rural,4060,2975,157,5,374,4,6,126,11,262,140
537,India,12,Arunachal Pradesh,628,Anjaw,2011,Urban,120,46,2,0,21,41,4,5,1,0,0
538,India,12,Arunachal Pradesh,666,Longding,2011,Rural,8223.369633,7605.20716,27.66303668,31.91888847,51.60220303,3.191888847,90.96883214,38.30266617,186.7254976,153.7426461,34.04681437
539,India,12,Arunachal Pradesh,666,Longding,2011,Urban,804.8784805,373.7578243,6.795596806,26.38290524,118.9229441,13.59119361,18.38808547,15.78976905,110.7282538,110.1286423,10.3932657
540,India,12,Arunachal Pradesh,677,Kra Daadi,2011,Rural,7720.13627,7075.664883,208.3139838,10.01509538,260.8932345,3.505283381,43.06491011,29.54453136,36.05434335,42.06340058,11.01660491
541,India,12,Arunachal Pradesh,677,Kra Daadi,2011,Urban,4032.932543,1966.595126,12.10744581,126.8399084,380.5197253,83.59903056,126.2633634,40.35815269,198.9080382,700.5022216,397.2395314
542,India,12,Arunachal Pradesh,678,Namsai,2011,Rural,15800.46497,12369.93389,158.6250499,371.5351169,1345.140423,62.74501974,296.1000932,57.10501797,334.1701052,575.9851812,229.1250721
543,India,12,Arunachal Pradesh,678,Namsai,2011,Urban,3222.12152,1496.242176,27.20440319,105.6170948,476.0770559,54.40880639,73.61191453,63.21023095,443.2717462,440.8713577,41.6067343
544,India,12,Arunachal Pradesh,679,Siang,2011,Rural,5208.934465,3740.746962,52.28315058,60.91298519,778.5589973,18.73365381,46.54615079,29.84339834,132.4563689,295.0279423,53.82485572
545,India,12,Arunachal Pradesh,679,Siang,2011,Urban,652.2106964,332.7949588,7.690418484,30.34028114,15.69688156,12.22039102,36.66117305,3.265794151,21.38568428,140.3238003,51.83131362
546,India,12,Arunachal Pradesh,718,Kamle,2011,Rural,3635.038869,2909.567007,62.38584282,19.5366596,238.3423824,17.19134881,36.17030937,16.19716937,84.41531475,151.1363599,100.0964752
547,India,12,Arunachal Pradesh,718,Kamle,2011,Urban,0,0,0,0,0,0,0,0,0,0,0
548,India,12,Arunachal Pradesh,719,Lower Siang,2011,Rural,3726.807478,2661.617698,39.92660808,41.67574987,602.0494226,11.24316967,35.5875094,19.37589389,84.33884275,195.08594,35.90664316
549,India,12,Arunachal Pradesh,719,Lower Siang,2011,Urban,0,0,0,0,0,0,0,0,0,0,0
550,India,12,Arunachal Pradesh,723,Pakke Kessang,2011,Rural,2193.643237,1815.428886,77.02899615,40.98972288,119.2068269,6.930629473,8.316755368,2.376215819,23.56414021,37.82143513,61.97962929
551,India,12,Arunachal Pradesh,723,Pakke Kessang,2011,Urban,0,0,0,0,0,0,0,0,0,0,0
552,India,12,Arunachal Pradesh,724,Leparada,2011,Rural,2814.754613,1974.736859,36.22027772,26.89081225,563.060681,3.29275252,32.37873312,9.878257561,38.59837677,108.8437639,20.8540993
553,India,12,Arunachal Pradesh,724,Leparada,2011,Urban,2589,1463,20,62,295,8,43,52,90,344,212
554,India,12,Arunachal Pradesh,725,Shi Yomi,2011,Rural,2198.142857,1542.142857,28.28571429,21,439.7142857,2.571428571,25.28571429,7.714285714,30.14285714,85,16.28571429
555,India,12,Arunachal Pradesh,725,Shi Yomi,2011,Urban,0,0,0,0,0,0,0,0,0,0,0
556,India,13,Nagaland,244,Dimapur,2011,Rural,36101.87853,23155.60696,220.6011724,1133.680308,527.286836,168.2877406,322.4264727,56.37139962,8254.535316,2197.702091,65.38022869
617,India,15,Mizoram,263,Kolasib,2011,Urban,9632,3650,89,65,119,31,7,3265,899,1391,116
618,India,15,Mizoram,264,Lawngtlai,2011,Rural,19039,14764,190,15,423,10,6,3320,139,153,19
557,India,13,Nagaland,244,Dimapur,2011,Urban,40698,17439,305,637,365,399,386,69,15241,5667,190
558,India,13,Nagaland,245,Kohima,2011,Rural,26353.12147,9553.393038,233.3988276,2205.319692,5546.713164,111.7122594,165.5735273,2473.6286,4478.464684,1437.297909,147.6197713
559,India,13,Nagaland,245,Kohima,2011,Urban,25715,3224,171,275,1855,215,239,4245,8118,5929,1444
560,India,13,Nagaland,246,Mokokchung,2011,Rural,30016,18354,608,543,7706,216,42,96,1504,936,11
561,India,13,Nagaland,246,Mokokchung,2011,Urban,12328,4944,166,190,2361,118,272,78,2642,1466,91
562,India,13,Nagaland,247,Mon,2011,Rural,35804,30808,243,125,3321,125,33,70,666,385,28
563,India,13,Nagaland,247,Mon,2011,Urban,5543,3749,84,114,262,107,138,15,504,537,33
564,India,13,Nagaland,248,Phek,2011,Rural,32889,14394,404,350,14470,72,158,326,2108,537,70
565,India,13,Nagaland,248,Phek,2011,Urban,5002,1173,54,116,1401,21,72,77,1595,463,30
566,India,13,Nagaland,249,Tuensang,2011,Rural,20923.16785,11489.7023,364.0507689,120.9168625,8688.461655,5.20072527,3.250453294,47.45661809,150.1709422,35.75498623,18.20253845
567,India,13,Nagaland,249,Tuensang,2011,Urban,6802,1922,340,258,3494,88,59,59,352,228,2
568,India,13,Nagaland,250,Wokha,2011,Rural,27028,13059,614,3567,5687,100,78,571,2957,275,120
569,India,13,Nagaland,250,Wokha,2011,Urban,6241,1327,47,173,885,63,15,453,3094,173,11
570,India,13,Nagaland,251,Zunheboto,2011,Rural,25388,11143,416,95,12317,53,29,131,997,171,36
571,India,13,Nagaland,251,Zunheboto,2011,Urban,4945,1028,66,39,1737,32,12,250,638,1129,14
572,India,13,Nagaland,613,Peren,2011,Rural,15850,9889,108,2688,2178,36,18,19,601,295,18
573,India,13,Nagaland,613,Peren,2011,Urban,2841,1541,69,102,313,25,15,25,410,306,35
574,India,13,Nagaland,614,Kiphire,2011,Rural,13400,4127,89,45,8983,6,2,30,77,32,9
575,India,13,Nagaland,614,Kiphire,2011,Urban,3255,926,55,59,1842,15,13,8,180,155,2
576,India,13,Nagaland,615,Longleng,2011,Rural,9896,7797,92,36,1569,17,34,20,191,96,44
577,India,13,Nagaland,615,Longleng,2011,Urban,1684,781,10,10,547,3,2,11,286,21,13
578,India,13,Nagaland,736,Noklak,2011,Rural,11261.83215,6184.297697,195.9492311,65.08313747,4676.538345,2.79927473,1.749546706,25.54338191,80.82905782,19.24501377,9.797461554
579,India,13,Nagaland,736,Noklak,2011,Urban,0,0,0,0,0,0,0,0,0,0,0
580,India,14,Manipur,252,Bishnupur,2011,Rural,28147,5692,60,21018,97,90,46,22,1076,37,9
581,India,14,Manipur,252,Bishnupur,2011,Urban,16744,2975,61,11315,152,102,64,43,1972,50,10
582,India,14,Manipur,253,Chandel,2011,Rural,16639.60031,3285.452405,180.8092687,8317.869808,4470.042667,12.86898709,9.651740321,32.81591709,310.7860383,14.1558858,5.147594838
583,India,14,Manipur,253,Chandel,2011,Urban,0,0,0,0,0,0,0,0,0,0,0
584,India,14,Manipur,254,Churachandpur,2011,Rural,39666.30146,12623.45371,977.9031166,16806.328,5567.24496,112.2462708,52.72173324,217.6897373,2745.781881,504.257868,58.674187
585,India,14,Manipur,254,Churachandpur,2011,Urban,3269,215,30,1427,384,29,3,13,955,209,4
586,India,14,Manipur,255,Imphal East,2011,Rural,46679.81917,13378.94399,117.5335174,28298.78696,232.4743836,263.586197,257.5366778,94.19965731,3848.358477,90.74278915,97.65652546
587,India,14,Manipur,255,Imphal East,2011,Urban,36381.85823,4932.806985,127.074653,18343.03362,988.6793079,682.5449165,698.9105915,216.6045222,9390.046708,892.4106314,109.7462912
588,India,14,Manipur,256,Imphal West,2011,Rural,41512,8255,139,26465,559,223,157,73,5414,191,36
589,India,14,Manipur,256,Imphal West,2011,Urban,69881,7878,272,32234,1063,916,858,323,23820,2351,166
590,India,14,Manipur,257,Senapati,2011,Rural,46575.26068,11389.76777,412.3751799,20407.07693,10777.27784,622.3221509,141.6997463,458.0661185,1803.346159,471.3685437,91.96024349
591,India,14,Manipur,257,Senapati,2011,Urban,0,0,0,0,0,0,0,0,0,0,0
592,India,14,Manipur,258,Tamenglong,2011,Rural,11964.4912,5923.470869,152.1896456,4049.49389,1576.980021,15.90041073,2.271487247,49.40484762,134.5856194,11.35743624,48.83697581
593,India,14,Manipur,258,Tamenglong,2011,Urban,3408,604,32,1164,933,14,10,214,405,30,2
594,India,14,Manipur,259,Thoubal,2011,Rural,33615.26941,7871.015362,51.05058022,23534.93255,169.1434887,78.1135384,144.5407994,25.21775649,1553.659827,36.28896666,151.306539
595,India,14,Manipur,259,Thoubal,2011,Urban,20273.19761,2891.256235,48.29787303,14929.33568,134.3077839,101.2270489,139.6007015,54.91402001,1927.945233,38.37365254,7.939376388
596,India,14,Manipur,260,Ukhrul,2011,Rural,20862.31166,1149.784808,216.8513064,3344.644293,15624.7784,17.56428027,11.4843371,43.91070067,403.9784462,47.28844688,2.026647723
597,India,14,Manipur,260,Ukhrul,2011,Urban,4908,53,10,124,4135,11,7,49,427,83,9
598,India,14,Manipur,711,Kakching,2011,Rural,21037.73059,4925.984638,31.94941978,14729.06745,105.8565113,48.8864616,90.45920059,15.78224351,972.3401731,22.71103334,94.69346104
599,India,14,Manipur,711,Kakching,2011,Urban,10368.80239,1478.743765,24.70212697,7635.664318,68.69221611,51.77295106,71.39929852,28.08597999,986.0547672,19.62634746,4.060623612
600,India,14,Manipur,712,Kangpokpi,2011,Rural,34141.92708,8357.168891,301.0986516,14991.00846,7857.659367,454.7404859,104.3385022,334.3136435,1330.168339,343.9972821,67.43345475
601,India,14,Manipur,712,Kangpokpi,2011,Urban,1519,154,27,661,334,10,4,6,301,16,6
602,India,14,Manipur,713,Jiribam,2011,Rural,7145.99307,2048.119353,17.99265112,4332.127653,35.58840552,40.35116611,39.42507377,14.42058068,589.1270252,13.89138505,14.9497763
603,India,14,Manipur,713,Jiribam,2011,Urban,1410.141769,191.193015,4.925346992,710.9663756,38.32069213,26.45508346,27.08940846,8.395477827,363.9532921,34.58936865,4.253708766
